NAME,DP03_0062E,DP03_0062M,state_fips,county_fips,county,median_income,median_income_moe,median_income_low,median_income_high,state_county_income_rank
"Chester County, Pennsylvania",127208.0,2511.0,42,029,Chester County,127208.0,2511.0,124697.0,129719.0,1
"Bucks County, Pennsylvania",114764.0,2067.0,42,017,Bucks County,114764.0,2067.0,112697.0,116831.0,2
"Montgomery County, Pennsylvania",113915.0,1905.0,42,091,Montgomery County,113915.0,1905.0,112010.0,115820.0,3
"Butler County, Pennsylvania",89843.0,2409.0,42,019,Butler County,89843.0,2409.0,87434.0,92252.0,4
"Delaware County, Pennsylvania",89546.0,1375.0,42,045,Delaware County,89546.0,1375.0,88171.0,90921.0,5
"Northampton County, Pennsylvania",89184.0,2135.0,42,095,Northampton County,89184.0,2135.0,87049.0,91319.0,6
"Cumberland County, Pennsylvania",87494.0,2786.0,42,041,Cumberland County,87494.0,2786.0,84708.0,90280.0,7
"Lancaster County, Pennsylvania",86959.0,1323.0,42,071,Lancaster County,86959.0,1323.0,85636.0,88282.0,8
"York County, Pennsylvania",84829.0,1522.0,42,133,York County,84829.0,1522.0,83307.0,86351.0,9
"Adams County, Pennsylvania",84092.0,2436.0,42,001,Adams County,84092.0,2436.0,81656.0,86528.0,10
"Monroe County, Pennsylvania",83565.0,2142.0,42,089,Monroe County,83565.0,2142.0,81423.0,85707.0,11
"Pike County, Pennsylvania",81323.0,4306.0,42,103,Pike County,81323.0,4306.0,77017.0,85629.0,12
"Lehigh County, Pennsylvania",80079.0,1728.0,42,077,Lehigh County,80079.0,1728.0,78351.0,81807.0,13
"Berks County, Pennsylvania",79777.0,1206.0,42,011,Berks County,79777.0,1206.0,78571.0,80983.0,14
"Perry County, Pennsylvania",79444.0,2718.0,42,099,Perry County,79444.0,2718.0,76726.0,82162.0,15
"Washington County, Pennsylvania",78958.0,2272.0,42,125,Washington County,78958.0,2272.0,76686.0,81230.0,16
"Allegheny County, Pennsylvania",78548.0,994.0,42,003,Allegheny County,78548.0,994.0,77554.0,79542.0,17
"Lebanon County, Pennsylvania",78425.0,2044.0,42,075,Lebanon County,78425.0,2044.0,76381.0,80469.0,18
"Franklin County, Pennsylvania",77003.0,2046.0,42,055,Franklin County,77003.0,2046.0,74957.0,79049.0,19
"Montour County, Pennsylvania",76976.0,5786.0,42,093,Montour County,76976.0,5786.0,71190.0,82762.0,20
"Union County, Pennsylvania",76404.0,4078.0,42,119,Union County,76404.0,4078.0,72326.0,80482.0,21
"Dauphin County, Pennsylvania",76242.0,1935.0,42,043,Dauphin County,76242.0,1935.0,74307.0,78177.0,22
"Centre County, Pennsylvania",74291.0,2520.0,42,027,Centre County,74291.0,2520.0,71771.0,76811.0,23
"Westmoreland County, Pennsylvania",74109.0,1340.0,42,129,Westmoreland County,74109.0,1340.0,72769.0,75449.0,24
"Wyoming County, Pennsylvania",72460.0,2965.0,42,131,Wyoming County,72460.0,2965.0,69495.0,75425.0,25
"Beaver County, Pennsylvania",71089.0,1561.0,42,007,Beaver County,71089.0,1561.0,69528.0,72650.0,26
"Sullivan County, Pennsylvania",69764.0,5111.0,42,113,Sullivan County,69764.0,5111.0,64653.0,74875.0,27
"Susquehanna County, Pennsylvania",68487.0,2246.0,42,115,Susquehanna County,68487.0,2246.0,66241.0,70733.0,28
"Schuylkill County, Pennsylvania",68313.0,1387.0,42,107,Schuylkill County,68313.0,1387.0,66926.0,69700.0,29
"Greene County, Pennsylvania",68041.0,4317.0,42,059,Greene County,68041.0,4317.0,63724.0,72358.0,30
"Carbon County, Pennsylvania",67554.0,3356.0,42,025,Carbon County,67554.0,3356.0,64198.0,70910.0,31
"Snyder County, Pennsylvania",66876.0,2148.0,42,109,Snyder County,66876.0,2148.0,64728.0,69024.0,32
"Elk County, Pennsylvania",66380.0,3352.0,42,047,Elk County,66380.0,3352.0,63028.0,69732.0,33
"Juniata County, Pennsylvania",66318.0,2017.0,42,067,Juniata County,66318.0,2017.0,64301.0,68335.0,34
"Lackawanna County, Pennsylvania",66223.0,1519.0,42,069,Lackawanna County,66223.0,1519.0,64704.0,67742.0,35
"Fulton County, Pennsylvania",65836.0,2460.0,42,057,Fulton County,65836.0,2460.0,63376.0,68296.0,36
"Huntingdon County, Pennsylvania",65557.0,2012.0,42,061,Huntingdon County,65557.0,2012.0,63545.0,67569.0,37
"Armstrong County, Pennsylvania",65008.0,1881.0,42,005,Armstrong County,65008.0,1881.0,63127.0,66889.0,38
"Tioga County, Pennsylvania",64899.0,2262.0,42,117,Tioga County,64899.0,2262.0,62637.0,67161.0,39
"Columbia County, Pennsylvania",64644.0,2531.0,42,037,Columbia County,64644.0,2531.0,62113.0,67175.0,40
"Mifflin County, Pennsylvania",63953.0,3171.0,42,087,Mifflin County,63953.0,3171.0,60782.0,67124.0,41
"Lycoming County, Pennsylvania",63917.0,2280.0,42,081,Lycoming County,63917.0,2280.0,61637.0,66197.0,42
"Luzerne County, Pennsylvania",63691.0,1684.0,42,079,Luzerne County,63691.0,1684.0,62007.0,65375.0,43
"Bradford County, Pennsylvania",63675.0,2517.0,42,015,Bradford County,63675.0,2517.0,61158.0,66192.0,44
