NAME,DP03_0061PE,DP03_0061PM,DP03_0062E,DP03_0062M,state_fips,county_fips,county_subdivision_fips,municipality,county,pct_200k_plus,pct_200k_plus_moe,median_income,median_income_moe,median_income_low,median_income_high,state_rank
"Upper Makefield township, Bucks County, Pennsylvania",55.3,5.4,212768.0,26157.0,42,017,79128,Upper Makefield,Bucks County,55.3,5.4,212768.0,26157.0,186611.0,238925.0,7
"Solebury township, Bucks County, Pennsylvania",49.2,6.2,195962.0,17719.0,42,017,71752,Solebury,Bucks County,49.2,6.2,195962.0,17719.0,178243.0,213681.0,14
"Buckingham township, Bucks County, Pennsylvania",46.3,3.7,190230.0,17222.0,42,017,09816,Buckingham,Bucks County,46.3,3.7,190230.0,17222.0,173008.0,207452.0,21
"New Hope borough, Bucks County, Pennsylvania",44.7,10.0,175156.0,43812.0,42,017,53712,New Hope,Bucks County,44.7,10.0,175156.0,43812.0,131344.0,218968.0,24
"Wrightstown township, Bucks County, Pennsylvania",43.2,7.6,188553.0,38142.0,42,017,86624,Wrightstown,Bucks County,43.2,7.6,188553.0,38142.0,150411.0,226695.0,29
"Lower Makefield township, Bucks County, Pennsylvania",43.1,3.1,175206.0,9190.0,42,017,44968,Lower Makefield,Bucks County,43.1,3.1,175206.0,9190.0,166016.0,184396.0,30
"Newtown borough, Bucks County, Pennsylvania",40.9,6.9,166429.0,24664.0,42,017,54184,Newtown,Bucks County,40.9,6.9,166429.0,24664.0,141765.0,191093.0,39
"Doylestown township, Bucks County, Pennsylvania",39.6,5.6,149764.0,23411.0,42,017,19792,Doylestown,Bucks County,39.6,5.6,149764.0,23411.0,126353.0,173175.0,45
"Northampton township, Bucks County, Pennsylvania",36.3,3.6,158583.0,3808.0,42,017,54688,Northampton,Bucks County,36.3,3.6,158583.0,3808.0,154775.0,162391.0,56
"Warwick township, Bucks County, Pennsylvania",34.5,6.4,155351.0,14514.0,42,017,81144,Warwick,Bucks County,34.5,6.4,155351.0,14514.0,140837.0,169865.0,69
